Designator,Mid X,Mid Y,Rotation,Layer
BTN1,201.875,-98.0,270.0,top
C1,200.59477,-110.36225,0.0,top
C10,195.075354,-91.225945,270.0,top
C11,191.444553,-91.192583,270.0,top
C12,199.553702,-65.718784,270.0,top
C13,205.848199,-67.61373,225.0,top
C14,194.0007,-91.231858,270.0,top
C15,193.04551,-120.238786,270.0,top
C16,210.346363,-70.303674,180.0,top
C17,197.690094,-72.95393,180.0,top
C18,210.336669,-69.213523,180.0,top
C19,210.371457,-75.77211,90.0,top
C2,200.568605,-103.625342,0.0,top
C20,207.969681,-68.307684,90.0,top
C21,211.295652,-66.455143,90.0,top
C23,192.528748,-114.066337,180.0,top
C24,203.687293,-85.55071,270.0,top
C25,198.982177,-79.138347,90.0,top
C26,195.512586,-66.667972,90.0,top
C27,193.333098,-73.807455,45.0,top
C28,195.950298,-112.723277,180.0,top
C29,193.688446,-76.277037,90.0,top
C3,197.694964,-82.182538,180.0,top
C4,213.339934,-70.604601,180.0,top
C5,213.32936,-75.349698,180.0,top
C6,200.550575,-109.231784,0.0,top
C7,202.71516,-65.725497,270.0,top
C8,192.74355,-91.192583,270.0,top
C9,198.234456,-65.701203,270.0,top
D1,200.878235,-87.2875,90.0,top
D2,194.919799,-120.501534,270.0,top
D3,192.910474,-65.84027,270.0,top
D4,198.0,-106.0,0.0,top
FLASH1,210.0,-98.0,270.0,top
J1,202.96432,-118.23661,0.0,top
J2,188.0,-117.73,180.0,top
J3,188.0,-89.59,0.0,top
J5,218.0,-89.55,0.0,top
L1,204.302767,-66.205497,0.0,top
L2,209.653723,-67.612746,45.0,top
Q1,196.420706,-110.155113,90.0,top
R1,201.571481,-111.596322,180.0,top
R10,200.297682,-79.128711,270.0,top
R11,201.536735,-79.146844,270.0,top
R12,202.995828,-81.493087,0.0,top
R13,197.726333,-77.9821,225.0,top
R14,204.748971,-78.814675,315.0,top
R15,211.704529,-75.732781,270.0,top
R16,208.642829,-93.262945,180.0,top
R17,196.454418,-117.438576,270.0,top
R18,200.473176,-93.264256,180.0,top
R19,191.217987,-93.657557,0.0,top
R2,205.24214,-111.784254,180.0,top
R20,193.868226,-111.167054,90.0,top
R21,193.85779,-109.132007,90.0,top
R22,198.920621,-110.926683,90.0,top
R3,205.294078,-107.994036,90.0,top
R4,204.185636,-107.978314,90.0,top
R5,210.359087,-71.350312,180.0,top
R6,201.376425,-89.582399,0.0,top
R8,194.755977,-65.036113,0.0,top
R9,195.405446,-114.066179,180.0,top
RESET1,193.625,-98.0,270.0,top
U1,195.0,-86.5,0.0,top
U2,204.05,-73.6,0.0,top
U3,193.985353,-116.74987,90.0,top
U4,208.9125,-82.905,90.0,top
Y1,213.125,-72.875,270.0,top
Y2,195.487175,-74.951957,90.0,top
